season,player_name,defteam,3rd_down_stop,4th_down_stop,qb_hit,sack,tackle_for_loss,forced_fumble,total_impact_plays,drive_stopper_score
2025,B.Burns,NYG,14,0,31,16,22,0,83,158.5
2025,T.Tuipulotu,LAC,7,1,24,14,21,0,67,129.5
2025,B.Young,LA,9,1,31,11,14,0,66,122.5
2025,N.Bonitto,DEN,9,1,26,12,15,0,63,119.5
2025,K.Chaisson,NE,11,1,27,10,14,0,63,118.0
2025,J.Verse,LA,5,3,34,8,14,0,64,116.5
2025,D.Lawrence,SEA,12,3,23,6,14,0,58,109.0
2025,M.Parsons,GB,8,1,25,11,12,0,57,107.5
2025,J.Sweat,ARI,6,2,17,12,13,0,50,98.5
2025,C.Jordan,NO,8,1,15,10,15,0,49,96.0
2025,E.Wilson,MIN,13,1,10,6,17,0,47,92.5
2025,O.Oweh,LAC,10,0,16,10,11,0,47,91.0
2025,C.Young,NO,12,1,14,8,11,0,46,89.5
2025,J.Brooks,MIA,23,1,4,3,13,0,44,88.0
2025,Y.Diaby,TB,6,1,19,7,13,0,46,86.5
2025,A.Highsmith,PIT,3,0,18,9,15,0,45,85.5
2025,A.Van Ginkel,MIN,12,1,13,6,11,0,43,83.0
2025,J.Pearce,ATL,9,0,15,9,10,0,43,83.0
2025,H.Landry,NE,6,0,20,8,10,0,44,82.0
2025,J.Cooper,DEN,10,2,16,6,9,0,43,82.0
2025,J.Hunt,PHI,4,1,23,6,9,0,43,78.0
2025,N.Herbig,PIT,4,0,17,7,13,0,41,77.0
2025,B.Chubb,MIA,6,0,19,8,8,0,41,76.5
2025,T.Dodson,MIA,15,2,6,5,10,0,38,76.5
2025,D.Turner,MIN,7,0,15,7,11,0,40,76.0
2025,T.Watt,PIT,5,0,19,6,10,0,40,73.5
2025,J.Campbell,DET,15,2,5,5,9,0,36,73.0
2025,D.White,LV,14,3,7,2,11,0,37,73.0
2025,B.Wagner,WAS,15,0,9,4,8,0,36,69.5
2025,V.Miller,WAS,8,0,13,7,6,0,34,65.0
2025,U.Nwosu,SEA,11,1,11,4,7,0,34,65.0
2025,C.Granderson,NO,5,3,8,5,11,0,32,64.0
2025,K.Elliss,ATL,9,2,9,3,10,0,33,64.0
2025,A.Carter,NYG,5,0,21,3,7,0,36,63.0
2025,C.Schwesinger,CLE,11,0,9,2,11,0,33,62.5
2025,N.Landman,LA,15,0,5,2,10,0,32,62.5
2025,N.Bolton,KC,11,2,7,1,10,0,31,60.0
2025,Q.Walker,GB,13,0,6,2,9,0,30,58.0
2025,H.To'oTo'o,HOU,13,0,4,2,10,0,29,57.0
2025,J.Sherwood,NYJ,13,1,5,2,8,0,29,57.0
2025,Z.Franklin,IND,10,3,6,2,7,0,28,55.5
2025,F.Luvu,WAS,12,2,6,3,5,0,28,55.5
2025,Z.Baun,PHI,12,1,5,3,7,0,28,55.5
2025,R.Smith,BAL,16,3,4,0,5,0,28,55.5
