season,week,player_name,defteam,3rd_down_stop,4th_down_stop,qb_hit,sack,tackle_for_loss,forced_fumble,drive_stopper_score,total_impact_plays
2025,4,T.Tuipulotu,LAC,2,0,5,4,5,0,31.5,16
2025,7,M.Parsons,GB,2,0,5,3,4,0,27.0,14
2025,13,M.Parsons,GB,3,0,4,2,3,0,23.0,12
2025,13,T.Tuipulotu,LAC,2,1,2,2,4,0,22.5,11
2025,19,O.Oweh,LAC,2,0,3,3,3,0,22.0,11
2025,6,B.Burns,NYG,4,0,2,2,2,0,20.0,10
2025,11,B.Burns,NYG,2,0,4,2,2,0,19.0,10
2025,15,T.Tuipulotu,LAC,1,0,4,2,3,0,19.0,10
2025,9,J.Sweat,ARI,0,1,5,2,2,0,19.0,10
2025,6,D.Lawrence,SEA,3,0,4,1,2,0,18.5,10
2025,12,J.Verse,LA,2,1,2,2,2,0,18.5,9
2025,5,N.Bonitto,DEN,3,0,2,2,2,0,18.0,9
2025,9,E.Wilson,MIN,2,0,2,2,3,0,18.0,9
2025,10,T.Knight,SEA,2,0,2,2,3,0,18.0,9
2025,17,J.Hunt,PHI,2,0,3,2,2,0,17.5,9
2025,9,J.Ward,TEN,1,0,4,2,2,0,17.0,9
2025,1,H.Landry,NE,0,0,4,2,3,0,17.0,9
2025,6,J.Verse,LA,1,1,4,1,2,0,17.0,9
2025,6,B.Young,LA,0,0,5,2,2,0,16.5,9
2025,3,N.Bonitto,DEN,0,0,5,2,2,0,16.5,9
2025,12,D.Gardeck,JAX,3,0,4,1,1,0,16.5,9
2025,5,J.Sweat,ARI,1,1,2,2,2,0,16.5,8
2025,18,D.Turner,MIN,2,0,2,2,2,0,16.0,8
2025,9,O.Oweh,LAC,2,0,2,2,2,0,16.0,8
2025,2,F.Oluokun,JAX,4,0,1,1,2,0,16.0,8
2025,15,O.Oweh,LAC,1,0,2,2,3,0,16.0,8
2025,18,J.Pearce,ATL,2,0,2,2,2,0,16.0,8
2025,15,D.Knight,CIN,2,0,2,2,2,0,16.0,8
2025,16,C.Jordan,NO,1,0,2,2,3,0,16.0,8
2025,7,K.Chaisson,NE,2,0,2,2,2,0,16.0,8
2025,10,A.Highsmith,PIT,1,0,3,2,2,0,15.5,8
2025,19,K.Chaisson,NE,1,0,3,2,2,0,15.5,8
2025,7,J.Sherwood,NYJ,3,0,2,1,2,0,15.5,8
2025,13,C.Jordan,NO,1,0,3,2,2,0,15.5,8
2025,2,C.Granderson,NO,0,0,3,2,3,0,15.5,8
2025,14,A.Highsmith,PIT,2,0,2,1,3,0,15.5,8
2025,6,J.Cooper,DEN,2,1,3,1,1,0,15.5,8
2025,17,A.Highsmith,PIT,0,0,4,2,2,0,15.0,8
2025,18,C.Granderson,NO,1,0,3,1,3,0,15.0,8
2025,6,N.Herbig,PIT,0,0,4,2,2,0,15.0,8
2025,12,D.Lloyd,JAX,1,0,4,1,2,0,14.5,8
2025,14,N.Bonitto,DEN,0,1,2,2,2,0,14.5,7
2025,6,Y.Diaby,TB,1,0,2,2,2,0,14.0,7
2025,7,B.Burns,NYG,0,0,2,2,3,0,14.0,7
2025,13,E.Wilson,MIN,1,0,1,1,4,0,14.0,7
2025,15,M.Milano,BUF,1,0,2,2,2,0,14.0,7
2025,8,J.Brooks,MIA,2,0,1,1,3,0,14.0,7
2025,15,A.Carter,NYG,2,0,1,1,3,0,14.0,7
2025,15,J.Brooks,MIA,3,0,1,1,2,0,14.0,7
2025,3,B.Young,LA,2,0,1,1,3,0,14.0,7
2025,3,K.Elliss,ATL,2,0,1,1,3,0,14.0,7
2025,1,D.Tranquill,KC,1,0,2,2,2,0,14.0,7
2025,22,D.Hall,SEA,1,0,2,2,2,0,14.0,7
2025,13,D.Turner,MIN,0,0,3,2,2,0,13.5,7
2025,3,B.Wagner,WAS,0,0,3,2,2,0,13.5,7
2025,8,C.Young,NO,3,0,2,1,1,0,13.5,7
2025,10,N.Bonitto,DEN,2,0,2,1,2,0,13.5,7
2025,12,M.Parsons,GB,0,0,3,2,2,0,13.5,7
2025,20,D.Lawrence,SEA,0,1,3,1,2,0,13.5,7
2025,11,A.Key,TEN,1,0,3,1,2,0,13.0,7
2025,17,B.Burns,NYG,2,0,3,1,1,0,13.0,7
2025,1,N.Bonitto,DEN,1,0,3,1,2,0,13.0,7
2025,9,A.Highsmith,PIT,0,0,1,2,3,0,12.5,6
2025,2,D.Henley,LAC,1,1,1,1,2,0,12.5,6
2025,4,B.Burns,NYG,1,0,4,1,1,0,12.5,7
2025,4,C.Granderson,NO,1,1,1,1,2,0,12.5,6
2025,17,A.Carter,NYG,2,0,3,0,2,0,12.5,7
2025,3,A.Van Ginkel,MIN,2,0,1,2,1,0,12.5,6
2025,16,J.Sherwood,NYJ,1,1,1,1,2,0,12.5,6
2025,3,N.Herbig,PIT,1,0,4,1,1,0,12.5,7
2025,3,T.Watt,PIT,0,0,2,2,2,0,12.0,6
2025,16,B.Burns,NYG,0,0,2,2,2,0,12.0,6
2025,11,A.Van Ginkel,MIN,2,0,1,1,2,0,12.0,6
2025,16,N.Bolton,KC,3,0,1,1,1,0,12.0,6
2025,12,A.Key,TEN,0,1,2,1,2,0,12.0,6
2025,11,T.Dodson,MIA,3,0,1,1,1,0,12.0,6
2025,4,P.Queen,PIT,1,0,1,1,3,0,12.0,6
2025,8,A.Nelson,TB,0,0,2,2,2,0,12.0,6
2025,15,D.Wonnum,CAR,1,0,2,2,1,0,12.0,6
2025,10,N.Scourton,CAR,1,1,2,1,1,0,12.0,6
2025,12,I.Stalbird,NO,3,0,1,1,1,0,12.0,6
2025,14,J.Hunt,PHI,1,0,2,2,1,0,12.0,6
2025,2,B.Young,LA,0,0,2,2,2,0,12.0,6
2025,9,J.Walker,ATL,0,0,2,2,2,0,12.0,6
2025,4,U.Nwosu,SEA,0,0,2,2,2,0,12.0,6
2025,15,J.Pearce,ATL,0,0,2,2,2,0,12.0,6
2025,17,B.Chubb,MIA,0,0,2,2,2,0,12.0,6
2025,16,A.Van Ginkel,MIN,1,1,2,1,1,0,12.0,6
2025,1,B.Burns,NYG,0,0,2,2,2,0,12.0,6
2025,12,D.Jones,BAL,2,0,2,1,1,0,11.5,6
2025,12,H.Landry,NE,2,0,2,1,1,0,11.5,6
2025,13,D.Lawrence,SEA,2,0,2,1,1,0,11.5,6
2025,11,R.Harrison,ATL,2,0,2,1,1,0,11.5,6
2025,15,C.Young,NO,1,0,2,1,2,0,11.5,6
2025,18,D.White,LV,2,0,2,1,1,0,11.5,6
2025,6,O.Oweh,LAC,2,0,2,1,1,0,11.5,6
2025,4,N.Herbig,PIT,2,0,2,1,1,0,11.5,6
2025,1,C.Jordan,NO,1,0,2,1,2,0,11.5,6
2025,8,J.Greenard,MIN,0,0,2,1,3,0,11.5,6
2025,5,Z.Baun,PHI,2,0,2,1,1,0,11.5,6
2025,10,T.Watt,PIT,1,0,3,1,1,0,11.0,6
2025,11,J.Pearce,ATL,1,0,3,1,1,0,11.0,6
2025,21,J.Verse,LA,1,0,3,1,1,0,11.0,6
2025,11,D.Turner,MIN,0,0,3,1,2,0,11.0,6
2025,7,N.Scourton,CAR,1,0,3,1,1,0,11.0,6
2025,9,D.Jones,TEN,1,0,3,1,1,0,11.0,6
2025,20,K.Chaisson,NE,0,0,4,1,1,0,10.5,6
2025,7,D.Lawrence,SEA,0,1,1,1,2,0,10.5,5
2025,13,J.Sweat,ARI,1,0,1,2,1,0,10.5,5
2025,10,B.Chubb,MIA,1,0,4,1,0,0,10.5,6
2025,4,T.Dodson,MIA,0,1,1,1,2,0,10.5,5
2025,11,C.Barton,TEN,1,1,1,1,1,0,10.5,5
2025,16,A.Carter,NYG,0,0,4,1,1,0,10.5,6
2025,15,E.Cooper,GB,2,1,0,0,2,0,10.5,5
2025,10,A.Ebiketie,ATL,1,0,1,1,2,0,10.0,5
2025,12,N.Dean,PHI,2,0,1,1,1,0,10.0,5
2025,18,J.Strnad,DEN,2,0,1,1,1,0,10.0,5
2025,3,C.Schwesinger,CLE,2,0,1,1,1,0,10.0,5
2025,7,J.Campbell,DET,1,0,1,1,2,0,10.0,5
2025,7,J.Verse,LA,0,1,2,1,1,0,10.0,5
2025,12,P.O'Connell,SEA,2,0,1,1,1,0,10.0,5
2025,1,D.Davis,NO,3,0,0,0,2,0,10.0,5
2025,6,D.White,LV,2,0,1,1,1,0,10.0,5
2025,7,T.Dodson,MIA,2,0,1,1,1,0,10.0,5
2025,15,A.Van Ginkel,MIN,2,0,4,0,0,0,10.0,6
2025,5,Z.Franklin,IND,2,0,1,1,1,0,10.0,5
2025,16,J.Williams,TEN,2,0,1,1,1,0,10.0,5
2025,17,D.Lawrence,SEA,2,0,1,1,1,0,10.0,5
2025,10,Z.Franklin,IND,1,0,1,1,2,0,10.0,5
2025,3,V.Miller,WAS,2,0,1,1,1,0,10.0,5
2025,17,C.Jordan,NO,0,1,2,1,1,0,10.0,5
2025,13,B.Young,LA,2,0,1,1,1,0,10.0,5
